time,PT1: HP,PT2: FUEL,PT3: OX,PT4: ENG?, PT5,PT6,PT7,PT8
18:44:35:276,1,2,410,2838,2688,2741,11390,2838
18:44:35:479,1,2,410,2830,2687,2747,11396,2830
18:44:35:605,1,2,410,2832,2687,2749,11394,2832
18:44:35:733,1,2,410,2832,2683,2748,11391,2832
18:44:35:869,1,2,411,2837,2690,2745,11398,2837
18:44:36:071,1,2,411,2833,2689,2739,11404,2833
18:44:36:195,1,2,411,2837,2683,2747,11405,2837
18:44:36:322,1,2,411,2841,2690,2742,11399,2841
18:44:36:477,1,2,411,2836,2683,2747,11411,2836
18:44:36:679,1,2,411,2838,2690,2738,11409,2838
18:44:36:804,1,2,411,2838,2688,2748,11414,2838
18:44:36:933,1,2,411,2829,2688,2736,11418,2829
18:44:37:070,1,2,412,2834,2689,2741,11422,2834
18:44:37:273,1,2,411,2835,2686,2742,11418,2835
18:44:37:398,1,2,411,2838,2692,2744,11417,2838
18:44:37:525,1,2,412,2837,2687,2744,11427,2837
18:44:37:678,1,2,412,2842,2690,2747,11423,2842
18:44:37:880,1,2,412,2837,2686,2742,11423,2837
18:44:38:006,1,2,412,2839,2685,2746,11421,2839
18:44:38:135,1,2,412,2836,2695,2745,11429,2836
18:44:38:272,1,2,412,2834,2687,2743,11430,2834
18:44:38:473,1,2,412,2835,2686,2746,11427,2835
18:44:38:596,1,2,412,2838,2688,2745,11431,2838
18:44:38:722,1,2,412,2832,2682,2746,11433,2832
18:44:38:876,1,2,412,2833,2688,2748,11434,2833
18:44:39:082,1,2,412,2835,2684,2748,11432,2835
18:44:39:207,1,2,413,2833,2689,2745,11444,2833
18:44:39:335,1,2,412,2838,2686,2744,11437,2838
18:44:39:474,1,2,413,2837,2687,2740,11442,2837
18:44:39:676,1,2,413,2837,2692,2745,11445,2837
18:44:39:800,1,2,413,2841,2687,2744,11446,2841
18:44:39:926,1,2,413,2831,2683,2750,11454,2831
18:44:40:082,1,2,413,2838,2690,2741,11445,2838
18:44:40:270,1,2,413,2837,2687,2747,11450,2837
18:44:40:396,1,2,413,2837,2684,2748,11452,2837
18:44:40:524,1,2,413,2840,2685,2745,11454,2840
18:44:40:678,1,2,413,2834,2685,2747,11458,2834
18:44:40:884,1,2,413,2834,2688,2750,11452,2834
18:44:41:009,1,2,414,2838,2685,2740,11462,2838
18:44:41:135,1,2,413,2837,2690,2749,11460,2837
18:44:41:273,1,2,414,2835,2689,2750,11467,2835
18:44:41:475,1,2,414,2836,2684,2742,11468,2836
18:44:41:600,1,2,414,2838,2681,2746,11473,2838
18:44:41:727,1,2,414,2832,2687,2740,11472,2832
18:44:41:882,1,2,414,2838,2687,2743,11471,2838
18:44:42:082,1,2,414,2836,2690,2745,11476,2836
18:44:42:206,1,2,414,2833,2686,2744,11476,2833
18:44:42:334,1,2,414,2834,2683,2743,11470,2834
18:44:42:473,1,2,414,2834,2688,2744,11480,2834
18:44:42:675,1,2,414,2838,2689,2744,11479,2838
18:44:42:799,1,2,415,2838,2689,2746,11484,2838
18:44:42:926,1,2,415,2838,2685,2748,11489,2838
18:44:43:081,1,2,415,2829,2685,2742,11487,2829
18:44:43:377,1,2,415,2838,2689,2744,11489,2838
18:44:43:676,1,2,415,2845,2686,2746,11489,2845
18:44:43:973,1,2,415,2840,2689,2750,11500,2840
18:44:44:269,1,2,415,2842,2688,2741,11498,2842
18:44:44:577,1,2,415,2837,2687,2752,11496,2837
18:44:44:716,1,2,416,2835,2689,2743,11505,2835
18:44:44:901,1,2,415,2834,2688,2743,11502,2834
18:44:45:027,1,2,416,2836,2685,2743,11507,2836
18:44:45:184,1,2,415,2835,2682,2744,11499,2835
18:44:45:323,1,2,416,2838,2687,2749,11509,2838
18:44:45:510,1,2,416,2834,2683,2746,11508,2834
18:44:45:634,1,2,416,2836,2691,2743,11513,2836
18:44:45:775,1,2,416,2840,2683,2740,11511,2840
18:44:45:915,1,2,416,2835,2686,2742,11515,2835
18:44:46:101,1,2,416,2840,2685,2747,11515,2840
18:44:46:226,1,2,416,2837,2684,2743,11516,2837
18:44:46:385,1,2,416,2838,2686,2741,11521,2838
18:44:46:526,1,2,416,2836,2691,2749,11522,2836
18:44:46:715,1,2,416,2836,2684,2742,11522,2836
18:44:46:840,1,2,416,2837,2690,2743,11520,2837
18:44:46:979,1,2,416,2845,2689,2749,11519,2845
18:44:47:121,1,2,416,2833,2689,2750,11521,2833
18:44:47:308,1,2,417,2840,2685,2746,11531,2840
18:44:47:435,1,2,417,2832,2688,2745,11530,2832
18:44:47:574,1,2,417,2844,2691,2747,11530,2844
18:44:47:714,1,2,417,2838,2689,2746,11528,2838
18:44:47:901,1,2,417,2833,2689,2741,11527,2833
18:44:48:026,1,2,417,2837,2690,2743,11535,2837
18:44:48:181,1,2,417,2838,2682,2746,11529,2838
18:44:48:321,1,2,417,2836,2691,2743,11536,2836
18:44:48:509,1,2,417,2836,2686,2746,11538,2836
18:44:48:634,1,2,417,2837,2683,2737,11535,2837
18:44:48:775,1,2,417,2840,2684,2745,11536,2840
18:44:48:915,1,2,417,2834,2686,2742,11538,2834
18:44:49:103,1,2,417,2836,2689,2744,11540,2836
18:44:49:229,1,2,417,2836,2682,2746,11542,2836
18:44:49:387,1,2,417,2834,2682,2745,11545,2834
18:44:49:511,1,2,417,2833,2685,2747,11540,2833
18:44:49:697,1,2,417,2839,2686,2744,11543,2839
18:44:49:822,1,2,417,2838,2685,2743,11539,2838
18:44:49:978,1,2,417,2834,2688,2744,11541,2834
18:44:50:118,1,2,418,2841,2684,2741,11546,2841
18:44:50:306,1,2,418,2840,2683,2740,11551,2840
18:44:50:431,1,2,418,2836,2688,2750,11546,2836
18:44:50:588,1,2,418,2831,2685,2744,11553,2831
18:44:50:714,1,2,418,2830,2688,2743,11550,2830
18:44:50:902,1,2,418,2839,2691,2747,11553,2839
18:44:51:027,1,2,418,2836,2683,2747,11551,2836
18:44:51:181,1,2,418,2833,2686,2744,11552,2833
18:44:51:322,1,2,418,2838,2684,2744,11551,2838
18:44:51:509,1,2,418,2835,2688,2744,11551,2835
18:44:51:632,1,2,418,2835,2684,2745,11558,2835
18:44:51:788,1,2,418,2837,2690,2743,11562,2837
18:44:51:913,1,2,418,2842,2689,2743,11554,2842
18:44:52:100,1,2,418,2838,2687,2743,11561,2838
18:44:52:221,1,2,418,2839,2685,2744,11564,2839
18:44:52:379,1,2,418,2836,2687,2746,11563,2836
18:44:52:518,1,2,418,2842,2690,2745,11563,2842
18:44:52:707,1,2,419,2836,2693,2743,11572,2836
18:44:52:833,1,2,418,2831,2683,2743,11566,2831
18:44:52:991,1,2,419,2834,2681,2741,11576,2834
18:44:53:117,1,2,419,2836,2686,2746,11573,2836
18:44:53:272,1,2,419,2835,2694,2747,11576,2835
18:44:53:410,1,2,419,2833,2681,2742,11571,2833
18:44:53:566,1,2,419,2840,2685,2748,11572,2840
18:44:53:710,1,2,419,2835,2687,2741,11582,2835
18:44:53:869,1,2,419,2832,2685,2740,11581,2832
