time,PT1: HP,PT2: FUEL,PT3: OX,PT4: ENG?, PT5,PT6,PT7,PT8
18:55:45:337,340,5,3,2884,9805,2811,2730,2884
18:55:45:463,339,5,3,2884,9781,2807,2729,2884
18:55:45:590,338,5,3,2884,9761,2807,2731,2884
18:55:45:728,337,5,3,2883,9742,2806,2731,2883
18:55:45:932,336,5,3,2882,9720,2804,2732,2882
18:55:46:056,335,5,3,2883,9699,2807,2727,2883
18:55:46:182,334,5,3,2881,9676,2805,2732,2881
18:55:46:335,333,5,3,2883,9658,2806,2732,2883
18:55:46:537,332,5,3,2880,9638,2805,2727,2880
18:55:46:663,331,5,3,2881,9617,2805,2730,2881
18:55:46:790,330,5,3,2881,9598,2810,2731,2881
18:55:46:927,329,5,3,2883,9576,2807,2731,2883
18:55:47:130,328,5,3,2881,9555,2809,2732,2881
18:55:47:257,327,5,3,2883,9537,2805,2730,2883
18:55:47:383,326,5,3,2879,9518,2802,2730,2879
18:55:47:534,325,5,3,2883,9493,2805,2730,2883
18:55:47:831,323,5,3,2884,9456,2807,2728,2884
18:55:48:143,321,5,3,2880,9416,2805,2730,2880
18:55:48:437,319,5,3,2885,9376,2802,2727,2885
18:55:48:733,317,5,3,2885,9336,2803,2732,2885
18:55:49:043,316,5,3,2883,9296,2803,2725,2883
18:55:49:170,315,5,3,2887,9276,2801,2728,2887
18:55:49:358,314,5,3,2878,9263,2800,2728,2878
18:55:49:482,313,5,3,2884,9235,2799,2729,2884
18:55:49:638,312,5,3,2884,9221,2802,2729,2884
18:55:49:780,311,5,3,2880,9198,2802,2729,2880
18:55:49:966,310,5,3,2881,9183,2806,2729,2881
18:55:50:093,309,5,3,2884,9162,2805,2731,2884
18:55:50:235,308,5,3,2883,9140,2805,2729,2883
18:55:50:375,307,5,3,2884,9125,2803,2727,2884
18:55:50:563,306,5,3,2882,9104,2803,2728,2882
18:55:50:686,306,5,3,2884,9089,2802,2726,2884
18:55:50:842,305,5,3,2881,9065,2802,2730,2881
18:55:50:983,304,4,3,2883,9044,2795,2730,2883
18:55:51:173,303,4,3,2884,9027,2798,2727,2884
18:55:51:297,302,4,3,2884,9009,2797,2726,2884
18:55:51:437,301,5,3,2885,8992,2800,2726,2885
18:55:51:576,300,5,3,2884,8975,2800,2729,2884
18:55:51:763,299,5,3,2882,8955,2802,2728,2882
18:55:51:890,298,5,3,2880,8937,2799,2726,2880
18:55:52:046,298,4,3,2881,8918,2798,2727,2881
18:55:52:170,297,5,3,2881,8898,2801,2727,2881
18:55:52:356,296,5,3,2881,8878,2800,2724,2881
18:55:52:481,295,4,3,2883,8863,2796,2727,2883
18:55:52:636,294,5,3,2883,8842,2801,2723,2883
18:55:52:779,293,4,3,2883,8827,2795,2725,2883
18:55:52:968,292,4,3,2878,8806,2796,2727,2878
18:55:53:096,291,4,3,2884,8790,2796,2726,2884
18:55:53:234,291,4,3,2883,8775,2798,2722,2883
18:55:53:376,290,4,3,2885,8755,2798,2727,2885
18:55:53:565,289,4,3,2882,8735,2794,2728,2882
18:55:53:689,288,4,3,2882,8719,2794,2724,2882
18:55:53:845,287,4,3,2882,8703,2797,2725,2882
18:55:53:971,286,4,3,2882,8680,2798,2728,2882
18:55:54:159,285,4,3,2881,8664,2797,2725,2881
18:55:54:285,284,5,3,2883,8642,2800,2724,2883
18:55:54:442,284,4,3,2885,8632,2790,2730,2885
18:55:54:584,283,4,3,2877,8614,2796,2724,2877
18:55:54:741,282,4,3,2882,8594,2796,2722,2882
18:55:54:882,281,4,3,2881,8578,2794,2725,2881
18:55:55:038,280,4,3,2881,8555,2797,2724,2881
18:55:55:178,280,4,3,2885,8541,2798,2723,2885
18:55:55:367,279,4,3,2882,8524,2795,2723,2882
18:55:55:492,278,4,3,2881,8506,2794,2721,2881
18:55:55:648,277,4,3,2881,8489,2796,2724,2881
18:55:55:772,276,4,3,2884,8471,2794,2723,2884
18:55:55:957,275,4,3,2884,8454,2796,2723,2884
18:55:56:081,275,4,3,2882,8440,2796,2718,2882
18:55:56:239,274,4,3,2881,8419,2797,2723,2881
18:55:56:382,273,4,3,2884,8404,2794,2722,2884
18:55:56:568,272,4,3,2880,8389,2793,2725,2880
18:55:56:696,271,4,3,2881,8370,2793,2724,2881
18:55:56:834,271,4,3,2879,8354,2796,2724,2879
18:55:56:974,270,4,3,2879,8336,2793,2725,2879
18:55:57:162,269,4,3,2884,8322,2789,2726,2884
18:55:57:286,268,4,3,2882,8303,2791,2722,2882
18:55:57:443,267,4,3,2883,8283,2792,2726,2883
18:55:57:581,267,4,3,2885,8269,2793,2722,2885
18:55:57:768,266,4,3,2877,8248,2796,2722,2877
18:55:57:892,265,4,3,2881,8235,2791,2724,2881
18:55:58:047,264,4,3,2880,8217,2794,2719,2880
18:55:58:174,264,4,3,2882,8203,2790,2720,2882
18:55:58:359,263,4,3,2882,8190,2791,2725,2882
18:55:58:484,262,4,3,2884,8169,2793,2721,2884
18:55:58:641,261,4,3,2884,8156,2794,2722,2884
18:55:58:783,261,4,3,2883,8140,2791,2719,2883
18:55:58:971,259,4,3,2882,8118,2792,2721,2882
18:55:59:098,259,4,3,2883,8105,2793,2723,2883
18:55:59:240,258,4,3,2881,8090,2790,2720,2881
18:55:59:383,257,4,3,2883,8071,2792,2718,2883
18:55:59:571,257,4,3,2884,8057,2790,2723,2884
18:55:59:696,256,4,3,2880,8044,2791,2720,2880
18:55:59:836,255,4,3,2881,8023,2790,2718,2881
18:55:59:978,254,4,3,2881,8011,2795,2723,2881
18:56:00:165,253,4,3,2884,7991,2786,2719,2884
18:56:00:289,253,4,3,2880,7979,2789,2722,2880
18:56:00:445,252,4,3,2880,7963,2790,2722,2880
18:56:00:582,251,4,3,2884,7948,2792,2720,2884
18:56:00:770,251,4,3,2878,7931,2791,2722,2878
18:56:00:896,250,4,3,2883,7917,2788,2722,2883
18:56:01:035,249,4,3,2880,7903,2792,2721,2880
18:56:01:177,248,4,2,2881,7885,2792,2715,2881
18:56:01:364,248,4,3,2881,7867,2789,2718,2881
18:56:01:488,247,4,3,2877,7852,2784,2726,2877
18:56:01:645,246,4,3,2880,7836,2790,2722,2880
18:56:01:770,245,4,3,2884,7821,2791,2724,2884
18:56:01:954,245,4,3,2880,7806,2789,2722,2880
18:56:02:079,244,4,3,2882,7790,2792,2718,2882
18:56:02:266,243,4,3,2881,7777,2790,2722,2881
18:56:02:391,242,4,3,2881,7761,2789,2722,2881
18:56:02:547,242,4,3,2881,7745,2790,2717,2881
18:56:02:672,241,4,3,2881,7729,2787,2719,2881
18:56:02:861,240,4,3,2882,7714,2787,2720,2882
18:56:02:984,240,4,3,2882,7700,2789,2720,2882
18:56:03:172,239,4,3,2881,7683,2790,2718,2881
18:56:03:296,238,4,3,2883,7672,2785,2722,2883
18:56:03:452,238,4,3,2884,7657,2789,2719,2884
18:56:03:578,237,4,3,2880,7642,2791,2718,2880
18:56:03:766,236,4,3,2880,7627,2787,2718,2880
18:56:03:890,236,4,3,2881,7616,2786,2716,2881
18:56:04:045,235,4,3,2882,7596,2790,2719,2882
18:56:04:183,234,4,3,2881,7587,2787,2717,2881
18:56:04:371,233,4,3,2882,7568,2790,2718,2882
18:56:04:495,232,4,3,2881,7551,2787,2718,2881
18:56:04:651,232,4,3,2879,7538,2784,2717,2879
18:56:04:775,231,4,3,2881,7525,2786,2718,2881
18:56:04:961,230,4,3,2882,7506,2786,2718,2882
18:56:05:083,230,4,3,2881,7491,2788,2719,2881
18:56:05:270,229,4,2,2881,7483,2786,2712,2881
18:56:05:395,228,4,3,2881,7466,2786,2717,2881
18:56:05:551,228,4,3,2879,7453,2786,2720,2879
18:56:05:677,227,4,3,2882,7435,2785,2717,2882
18:56:05:862,226,4,3,2880,7424,2786,2716,2880
18:56:05:987,226,4,3,2881,7407,2780,2720,2881
18:56:06:143,225,4,2,2880,7394,2787,2715,2880
18:56:06:281,224,4,3,2882,7375,2788,2719,2882
18:56:06:468,224,4,3,2886,7364,2783,2718,2886
18:56:06:594,223,4,3,2878,7355,2785,2716,2878
18:56:06:751,222,4,3,2885,7337,2786,2717,2885
18:56:06:877,222,4,3,2882,7322,2782,2719,2882
18:56:07:064,221,4,3,2881,7312,2780,2717,2881
18:56:07:190,220,4,3,2880,7294,2787,2718,2880
18:56:07:347,220,4,3,2884,7282,2783,2719,2884
18:56:07:473,219,4,3,2882,7265,2785,2718,2882
